10	0.78	0.79	0.775	0.8
11	0.782	0.792	0.772	0.805
12	0.784	0.794	0.778	0.81
13	0.785	0.793	0.78	0.815
14	0.79	0.795	0.782	0.82
15	0.787	0.792	0.779	0.815
16	0.783	0.791	0.777	0.81
17	0.781	0.789	0.774	0.805
18	0.78	0.788	0.772	0.802
19	0.779	0.787	0.77	0.8
20	0.778	0.785	0.768	0.798
21	0.777	0.784	0.766	0.795
22	0.776	0.783	0.764	0.792
23	0.775	0.782	0.762	0.79
24	0.773	0.781	0.76	0.788
25	0.784	0.792	0.78	0.803
26	0.774	0.786	0.771	0.797
27	0.769	0.778	0.754	0.78
28	0.768	0.777	0.752	0.778
29	0.767	0.776	0.75	0.775
30	0.765	0.775	0.748	0.772
